AD,RINSADA1XXX,"Result Internacional Sa - Head Office","Andorra La Vella"
AD,BINAADB1XXX,"Mora Banc Sau - Mora Banc Sau","Les Escaldes"
AD,BINAADADXXX,"Mora Banc Grup Sa - Head Office","Andorra La Vella"
AD,CRDAADADXXX,"Credit Andorra - Head Office","Andorra La Vella"
AD,CASBADADXXX,"Banca Privada D'andorra S.a. - Head Office","Les Escaldes"
AD,BSANADADXXX,"Banc Sabadell D'andorra - Head Office","Andorra La Vella"
AD,BACAADADXXX,"Andorra Banc Agricol Reig S.a. - Head Office","Les Escaldes"
AF,PIBAAFKAXXX,"Pashtany Bank - Kabul",Kabul
AF,NBPAAFKAXXX,"National Bank Of Pakistan, Kabul Branch - Head Office",Kabul
AF,CBMOAFK1XXX,"Mortgage And Construction Bank - Head Office",Kabul
AF,MWBKAFKAXXX,"Maiwand Bank - Head Office",Kabul
AF,KABUAFKAXXX,"Kabul Bank - Kabul",Kabul
AF,IDTBAFK1XXX,"Industrial Development Bank Of Afghanistan - Head Office",Kabul
AF,GHBKAFKAISW,"Ghazanfar Bank - Kabul",Kabul
AF,GHBKAFKAXXX,"Ghazanfar Bank - Head Office",Kabul
AF,FMFBAFKAXXX,"First Microfinance Bank Ltd., The - Shash Darak Kabul Branch",Kabul
AF,AFGBAFKAXXX,"Da Afghanistan Bank - Head Office",Kabul
AF,BMAFAFKAXXX,"Banke Millie Afghan - Head Office",Kabul
AF,ALFHAFKAXXX,"Bank Alfalah Limited (afghanistan-kabul Branch - Head Office",Kabul
AF,ALFHAFKA803,"Bank Alfalah Limited - Afghanistan-herat Branch",Herat
