AD,BACAADAD,"ANDORRA BANC AGRICOL REIG S.A."
AD,AAMAADAD,"ANDORRA GESTIO AGRICOL REIG SAU"
AD,BSANADAD,"BANC SABADELL D'ANDORRA S.A."
AD,CASBADAD,"BANCA PRIVADA D'ANDORRA S.A."
AD,CRDAADAD,"CREDIT ANDORRA,S.A."
AD,BINAADAD,"MORA BANC GRUP SA"
AD,BINAADB1,"MORA BANC SAU"
AD,RINSADA1,"RESULT INTERNACIONAL SA"
AD,VALBADAD,"VALL BANC"
AE,ABNAAEAAIPC,"ABN AMRO BANK N.V. UNITED ARAB EMIRATES BRANCH"
AE,ABNAAEAA,"ABN AMRO BANK N.V. UNITED ARAB EMIRATES BRANCH"
AE,ABPPAEA1,"ABRAAJ CAPITAL LIMITED"
AE,ADCBAEAACMD,"ABU DHABI COMMERCIAL BANK"
AE,ADCBAEAAFIN,"ABU DHABI COMMERCIAL BANK"
AE,ADCBAEAAREM,"ABU DHABI COMMERCIAL BANK"
AE,ADCBAEAATRY,"ABU DHABI COMMERCIAL BANK"
AE,ADCBAEAA,"ABU DHABI COMMERCIAL BANK"
AE,ADCBAEAA060,"ABU DHABI COMMERCIAL BANK"
AE,ADFDAEAA,"ABU DHABI FUND FOR DEVELOPMENT"
AE,ADINAEAA,"ABU DHABI INVESTMENT AUTHORITY"
AE,ADCNAEAD,"ABU DHABI INVESTMENT COUNCIL"
AE,ADCNAEAA,"ABU DHABI INVESTMENT COUNCIL"
AE,ABDIAEAD,"ABU DHABI ISLAMIC BANK"
AE,ADPFAEAA,"ABU DHABI RETIRMENT PENSION AND BENEFITS FUND"
AE,ADPFAEAB,"ABU DHABI RETIRMENT PENSION AND BENEFITS FUND"
AE,ADSEAEA1,"ABU DHABI SECURITIES MARKET"
AE,ADSLAEAD,"ADS SECURITIES LLC"
AE,ABOCAEAD,"AGRICULTURAL BANK OF CHINA (DIFC BRANCH)"
AE,AAHUAEAD,"AHMED AL HUSSAIN MONEY EXCHANGE EST"
AE,AJMNAEAJ,"AJMAN BANK PJSC"
AE,ABKKAEAA,"AL AHLI BANK OF KUWAIT K.S.C.P, ABUDHABI BRANCH"
AE,ABKKAEAD,"AL AHLI BANK OF KUWAIT K.S.C.P, DUBAI BRANCH"
AE,ALANAEAA,"AL ANSARI EXCHANGE LLC"
AE,DMTIAEAA,"AL DAHAB EXCHANGE"
AE,ALDHAEA1,"AL DHABI INVESTMENT PJSC"
AE,FEXEAEAA,"AL FARDAN EXCHANGE"
AE,ALFEAEA1,"AL FARDAN EXCHANGE AND FINANCE CO."
AE,FSCLAEA1,"AL FUTTAIM HC SECURITIES COMPANY LLC"
AE,HLALAEAA,"AL HILAL BANK"
AE,JAEXAEAD,"AL JARWAN EXCHANGE"
AE,LICOAEAD,"AL KHALIJI FRANCE S.A."
AE,AMCXAEAA,"AL MAL CAPITAL PSC"
AE,AMSUAEA1,"AL MAL SECURITIES EMIRATES LLC"
AE,NAHDAEAD,"AL NAHDI EXCHANGE"
AE,RDEXAEA1,"AL RASHEED EXCHANGE"
AE,TCARAEAD,"AL ROSTAMANI INTERNATIONAL EXCHANGE"
AE,ALEHAEAD,"ALFA EXCHANGE"
AE,AFECAEAA,"ALFALAH EXCHANGE COMPANY"
AE,ALFXAEAD,"ALFUAD EXCHANGE"
AE,ALRSAEA1,"ALRAMZ SECURITIES CO."
AE,APFSAEA1,"APEX FUND SERVICES (DUBAI) LTD"
AE,ARAIAEADAUH,"ARAB AFRICAN INTERNATIONAL BANK"
AE,ARAIAEAD,"ARAB AFRICAN INTERNATIONAL BANK"
AE,ABINAEAASUK,"ARAB BANK FOR INVESTMENT AND FOREIGN TRADE"
AE,ABINAEAA,"ARAB BANK FOR INVESTMENT AND FOREIGN TRADE"
AE,ABINAEAAAIN,"ARAB BANK FOR INVESTMENT AND FOREIGN TRADE"
AE,ABINAEAADXB,"ARAB BANK FOR INVESTMENT AND FOREIGN TRADE"
AE,ARABAEADABD,"ARAB BANK PLC"
AE,ARABAEADABC,"ARAB BANK PLC"
AE,ARABAEADAJM,"ARAB BANK PLC"
AE,ARABAEADAIN,"ARAB BANK PLC"
AE,ARABAEADCTU,"ARAB BANK PLC"
AE,ARABAEADDER,"ARAB BANK PLC"
AE,ARABAEADMAK,"ARAB BANK PLC"
AE,ARABAEADFTC,"ARAB BANK PLC"
AE,ARABAEADINV,"ARAB BANK PLC"
AE,ARABAEAD,"ARAB BANK PLC"
AE,ARABAEADFUJ,"ARAB BANK PLC"
AE,ARABAEADRAK,"ARAB BANK PLC"
AE,ARABAEADSHJ,"ARAB BANK PLC"
AE,AGIOAEA1,"ARAB GERMAN INTERNATIONAL BROKER FINANCE BROKERS L.L.C."
AE,ALNKAEAD,"ARAB LINK MONEY TRANSFER"
AE,ARMFAEAA,"ARAB MONETARY FUND"
AE,ATFPAEAD,"ARAB TRADE FINANCING PROGRAM"
AE,ARMPAEAD,"ARAMEX PJSC FINANCIAL DEPARTMENT"
AE,ARQMAEAD,"ARQAAM CAPITAL LIMITED"
AE,ARQSAEA1,"ARQAAM SECURITIES LLC"
AE,APGTAEA1,"ASIA PACIFIC BANKING GROUP MIDDLE E"
AE,APFRAEA1,"ASIA PACIFIC FINANCIALS SERVICES MIDDLE EAST LIMITED"
AE,AVMEAEA1,"AUDI VOLKSWAGEN MIDDLE EAST"
AE,UTIBAEA1,"AXIS BANK LIMITED"
AE,AXISAEAD,"AXIS BANK LIMITED, DIFC BRANCH (REGULATED BY DFSA)"
AE,AZIZAEAD,"AZIZ EXCHANGE CO LLC"
AE,BARBAEADADH,"BANK OF BARODA"
AE,BARBAEADALN,"BANK OF BARODA"
AE,BARBAEADDEI,"BANK OF BARODA"
AE,BARBAEADIFC,"BANK OF BARODA"
AE,BARBAEADDUB,"BANK OF BARODA"
AE,BARBAEAD,"BANK OF BARODA"
AE,BARBAEADRAK,"BANK OF BARODA"
AE,BARBAEADSHJ,"BANK OF BARODA"
AE,BKCHAEAD,"BANK OF CHINA (DUBAI) BRANCH"
AE,BKCHAEAA,"BANK OF CHINA ABU DHABI BRANCH"
AE,BKIDAEAD,"BANK OF INDIA"
AE,NOSCAEAD,"BANK OF NOVA SCOTIA"
AE,SHARAEAS,"BANK OF SHARJAH, THE"
AE,ARCOAEA1,"BANK OF THE ARAB COAST"
AE,BOTKAEAD,"BANK OF TOKYO-MITSUBISHI UFJ, LTD.,"
AE,BOTKAEAA,"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE"
AE,MEDLAEAD,"BANKMED SAL (DUBAI)"
AE,BPCPAEAD,"BANQUE DE COMMERCE ET DE PLACEMENTS SA-DIFC BRANCH"
AE,BCAIAEAA802,"BANQUE MISR"
AE,BCAIAEAA,"BANQUE MISR"
AE,BCAIAEAA806,"BANQUE MISR"
