AFGBAFKA,"DA AFGHANISTAN BANK",KABUL,,Afghanistan
AFGUAFKA,"AFGAN UNITED BANK",KABUL,,Afghanistan
AFIBAFKA,"AFGHANISTAN INTERNATIONAL BANK",KABUL,,Afghanistan
ALFHAFKA,"BANK ALFALAH LIMITED (AFGHANISTAN KABUL BRANCH)",KABUL,,Afghanistan
ALFHAFKA803,"BANK ALFALAH LIMITED (AFGHANISTAN KABUL BRANCH)",HERAT,,Afghanistan
AZBAAFKA,"AZIZI BANK",KABUL,,Afghanistan
BKRBAFKA,"BAKHTAR BANK",KABUL,,Afghanistan
BMAFAFKA,"BANKE MILLIE AFGHAN",KABUL,,Afghanistan
CBMOAFK1,"MORTGAGE AND CONSTRUCTION BANK",KABUL,,Afghanistan
FMFBAFKA,"FIRST MICROFINANCE BANK LTD. THE",KABUL,,Afghanistan
GHBKAFKA,"GHAZANFAR BANK",KABUL,,Afghanistan
GHBKAFKAISW,"GHAZANFAR BANK",KABUL,,Afghanistan
HABBAFKA,"HABIB BANK LIMITED",KABUL,,Afghanistan
IDTBAFK1,"INDUSTRIAL DEVELOPMENT BANK OF AFGHANISTAN",KABUL,,Afghanistan
KABUAFKA,"KABUL BANK",KABUL,,Afghanistan
MWBKAFKA,"MAIWAND BANK",KABUL,,Afghanistan
NBPAAFKA,"NATIONAL BANK OF PAKISTAN KABUL BRANCH",KABUL,,Afghanistan
PIBAAFKA,"PASHTANY BANK",KABUL,,Afghanistan
PUNBAFKA,"PUNJAB NATIONAL BANK",KABUL,,Afghanistan
TBAAAFKA,"AFGHANISTAN COMMERCIAL BANK",KABUL,,Afghanistan
