"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Addiko Bank AG","Wipplingerstrasse 34/4","Wien","HSEEAT2KXXX","2015-01-05",""
"AUSTRIA","Allgemeine Sparkasse Oberoesterreich Bankaktiengesellschaft","Promenade 11-13","Linz","ASPKAT2LXXX","2009-11-02",""
"AUSTRIA","ALLIANZ INVESTMENTBANK AG","HIETZINGER KAI 101- 105","VIENNA","AIAGATWWXXX","2010-11-01",""
"AUSTRIA","ALPENBANK A.G.","KAISER JAEGERSTRASSE 9","INNSBRUCK","ALPEAT22XXX","2010-02-08",""
"AUSTRIA","AUSTRIAN ANADI BANK AG","Domgasse 5","KLAGENFURT","HAABAT2KXXX","2009-11-02",""
"AUSTRIA","AUTOBANK AG","Gertrude-Fröhlich-Sandner-Straße 3","VIENNA","AUTOATW1XXX","2014-02-03",""
"AUSTRIA","BANCO DO BRASIL AG","Praterstrasse 31/4.OG","VIENNA","BRASATWWXXX","2009-11-02",""
"AUSTRIA","BANK FUER AERZTE UND FREIE BERUFE A.G.","4, KOLINGASSE","VIENNA","BWFBATW1XXX","2009-11-02",""
"AUSTRIA","BANK FUER TIROL UND VORARLBERG A.G.","STADTFORUM","INNSBRUCK","BTVAAT22XXX","2009-11-02",""
"AUSTRIA","Bank fur Arbeit und Wirtschaft und Osterreichische Postsparkasse AG","Georg Coch Platz 2","VIENNA","OPSKATWWXXX","2009-11-02",""
"AUSTRIA","BANK GUTMANN AG","Schwarzenbergplatz 16","VIENNA","GUTBATWWXXX","2010-11-01",""
"AUSTRIA","BANK WINTER UND CO. AKTIENGESELLSCHAFT","10, SINGERSTRASSE","VIENNA","WISMATWWXXX","2010-04-12",""
"AUSTRIA","Bankhaus Carl Spaengler & Co. AG","Schwarzstrasse  1","Salzburg","SPAEAT2SXXX","2009-11-02",""
"AUSTRIA","Bankhaus Krentschker & Co Aktiengesellschaft","Am Eisernen Tor 3","Graz","KRECAT2GXXX","2009-11-02",""
"AUSTRIA","Bankhaus Schelhammer & Schattera AG","Goldschmiedgasse 3","Vienna","BSSWATWWXXX","2009-11-02",""
"AUSTRIA","Bausparkasse der oesterreichischen Sparkassen AG","Beatrixgasse 27","Wien","BAOSATWWXXX","2009-11-02",""
"AUSTRIA","BAWAG P.S.K.(Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse Aktiengesellschaft)","Wiedner Gürtel 11","VIENNA","BAWAATWWXXX","2009-11-02",""
"AUSTRIA","BKS BANK AG","43, ST. VEITER RING","KLAGENFURT","BFKKAT2KXXX","2009-11-02",""
"AUSTRIA","BMW AUSTRIA BANK GMBH","24 SIEGFRIED MARCUS STRASSE","SALZBURG","BMASAT21XXX","2010-11-01",""
"AUSTRIA","BRUELL KALLMUS BANK AG","BURGRING 16","GRAZ","SPBAATWWXXX","2014-02-03",""
"AUSTRIA","CAPITAL BANK GRAWE GRUPPE AG","16, BURGRING","GRAZ","RSBUAT2KXXX","2010-02-01",""
"AUSTRIA","Commerzialbank Mattersburg im Burgenland AG","Judengasse 11","Mattersburg","CBMUAT21XXX","2010-11-01",""
"AUSTRIA","Die Zweite Wiener Vereins-Sparcasse","Glockengasse 3","Wien","GIBAAT21XXX","2009-11-02",""
"AUSTRIA","DOLOMITENBANK OSTTIROL-WESTKAERNTEN EG","SUEDTIROLER PLATZ 9","LIENZ","OVLIAT21XXX","2009-11-02",""
"AUSTRIA","Dornbirner Sparkasse Bank AG","Bahnhofstrasse 2","Dornbirn","DOSPAT2DXXX","2009-11-02",""
"AUSTRIA","easybank AG","51-55, QUELLENSTR.","VIENNA","EASYATW1XXX","2009-11-02",""
"AUSTRIA","ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG","Am Graben 21","Wien","GIBAATWWXXX","2009-11-02",""
"AUSTRIA","Erste Group Bank AG","Am Graben 21","Wien","GIBAATWGXXX","2009-11-02",""
"AUSTRIA","EUROPEAN AMERICAN INVESTMENT BANK AG","4, WALLNERSTRASSE","VIENNA","EUAAATWWXXX","2010-11-01",""
"AUSTRIA","GENERALI BANK AG","Landskrongasse 1-3","VIENNA","BGENATWWXXX","2010-11-01",""
"AUSTRIA","HYPO NOE Landesbank für Niederösterreich und Wien AG","Hypogasse 1","ST. POELTEN","HYPNATWWXXX","2009-11-02",""
"AUSTRIA","HYPO TIROL BANK AG","HYPO PASSAGE 2","INNSBRUCK","HYPTAT22XXX","2009-11-02",""
"AUSTRIA","Hypo Vorarlberg Bank AG","1 HYPO-PASSAGE","BREGENZ","HYPVAT2BXXX","2009-11-02",""
"AUSTRIA","HYPO-BANK BURGENLAND AKTIENGESELLSCHAFT","33, NEUSIEDLERSTRASSE","EISENSTADT","EHBBAT2EXXX","2009-11-02",""
"AUSTRIA","Kaerntner Sparkasse AG","Neuer Platz 14","Klagenfurt","KSPKAT2KXXX","2009-11-02",""
"AUSTRIA","KATHREIN PRIVATBANK AG","25, WIPPLINGERSTRASSE","VIENNA","KTBKATWWXXX","2010-11-01",""
"AUSTRIA","Kremser Bank und Sparkassen Aktiengesellschaft","Ringstrasse 5-7","Krems","SPKDAT21XXX","2009-11-02",""
"AUSTRIA","Landes-Hypothekenbank Steiermark AG","Radetzkystrasse 15 - 17","Graz","HYSTAT2GXXX","2009-11-02",""
"AUSTRIA","LGT BANK AG ZWEIGNIEDERLASSUNG OESTERREICH","BANKGASSE 9","VIENNA","BLFLATWWXXX","2010-11-01",""
"AUSTRIA","LIECHTENSTEINISCHE LANDESBANK (OSTERREICH) AG","WIPPLINGERSTRASSE 35","VIENNA","LILAATWWXXX","2010-11-01",""
"AUSTRIA","Lienzer Sparkasse AG","Johannesplatz 6","Lienz","LISPAT21XXX","2009-11-02",""
"AUSTRIA","Marchfelder Bank eG","Marchfelder-Platz 1-2","Gaenserndorf","MVOGAT22XXX","2017-02-06",""
"AUSTRIA","MEINL BANK A.G.","2, BAUERNMARKT","VIENNA","MEINATWWXXX","2010-11-01",""
"AUSTRIA","NOTARTREUHANDBANK AG","20, LANDESGERICHTSSTRASSE","VIENNA","NTBAATWWXXX","2010-11-01",""
"AUSTRIA","OBERBANK AG","Untere Donaulande, 28","Linz","OBKLAT2LXXX","2009-11-02",""
"AUSTRIA","OBEROESTERREICHISCHE LANDESBANK AKTIENGESELLSCHAFT","38, LANDSTRASSE","LINZ","OBLAAT2LXXX","2009-11-02",""
"AUSTRIA","OESTERREICHISCHE APOTHEKERBANK","31, SPITALGASSE","VIENNA","VBOEATWWAPO","2009-11-02",""
"AUSTRIA","Oesterreichische Kontrollbank AG","Am Hof 4","Vienna","OEKOATWWXXX","2014-02-03",""
"AUSTRIA","OESTERREICHISCHE NATIONALBANK","3, OTTO-WAGNER PLATZ","VIENNA","NABAATWWXXX","2009-11-02",""
"AUSTRIA","PARTNER BANK AG","Goethestrasse 1a","Linz","IBAGAT21XXX","2009-11-02",""
"AUSTRIA","Posojilnica Bank eGen","5-7, PAULITSCHGASSE","KLAGENFURT","VSGKAT2KXXX","2010-02-01",""
"AUSTRIA","Raiffeisen Bank Going reg.Gen.m.b.H.","Dorfstrasse 25","Going","RZTIAT22232","2009-11-02",""
"AUSTRIA","Raiffeisen Bank International AG","9, AM STADTPARK","VIENNA","RZBAATWWXXX","2009-11-02",""
"AUSTRIA","Raiffeisen Bank Lurnfeld-Reisseck reg.Gen.m.b.H.","Hauptstrasse 23","Moellbruecke","RZKTAT2K412","2009-11-02",""
"AUSTRIA","Raiffeisen Bank Villach reg.Gen.m.b.H.","Nikolaigasse 4","Villach","RZKTAT2K496","2009-11-02",""
"AUSTRIA","RAIFFEISEN BAUSPARKASSE GESELLSCHAFT M.B.H.","94, WIEDNER HAUPTSTRASSE","VIENNA","RBSKATW1XXX","2009-11-02",""
"AUSTRIA","RAIFFEISEN CENTROBANK AG","TEGETTHOFFSTRASSE 1","VIENNA","CENBATWWXXX","2010-11-01",""
"AUSTRIA","Raiffeisen Regionalbank Achensee eGen","Nr. 86 a","Maurach","RZTIAT22218","2009-11-02",""
"AUSTRIA","RAIFFEISEN REGIONALBANK GAENSERNDORF eGen","8, BAHNSTRASSE","GAENSERNDORF","RLNWATWWGAE","2009-11-02",""
"AUSTRIA","Raiffeisen Regionalbank Hall in Tirol reg.Gen.m.b.H.","Zollstrasse 1","Hall i.T.","RZTIAT22362","2009-11-02",""
"AUSTRIA","Raiffeisen Regionalbank Längsee-Hochosterwitz eGen","Hauptstrasse 12","Launsdorf","RZKTAT2K384","2009-11-02",""
"AUSTRIA","RAIFFEISEN REGIONALBANK MOEDLING eGen","Hauptstrasse 27-29","Moedling","RLNWATWWGTD","2009-11-02",""
"AUSTRIA","RAIFFEISEN REGIONALBANK WR. NEUSTADT eGen","28, HAUPTPLATZ","WIENER NEUSTADT","RLNWATWWWRN","2009-11-02",""
"AUSTRIA","RAIFFEISEN VERMOEGENSVERWALTUNGSBANK","SCHWARZENBERGPLATZ 3","VIENNA","RAVMATW1XXX","2010-11-01",""
"AUSTRIA","Raiffeisen-Bezirksbank Jennersdorf reg. GenmbH","Hauptstrasse 11","Jennersdorf","RLBBAT2E034","2009-11-02",""
"AUSTRIA","Raiffeisen-Bezirksbank Spittal/Drau reg.Gen.m.b.H.","Burgplatz 2","Spittal/Drau","RZKTAT2K267","2009-11-02",""
"AUSTRIA","Raiffeisen-Bezirksbank St.Veit a.d.Glan-Feldkirchen reg.Gen.m.b.H.","10.Oktober-Platz 1","St.Veit/Glan","RZKTAT2K475","2009-11-02",""
"AUSTRIA","Raiffeisen-Landesbank Steiermark AG","Kaiserfeldgasse 5","Graz","RZSTAT2GXXX","2009-11-02",""
"AUSTRIA","Raiffeisen-Landesbank Tirol AG","Adamgasse 1-7","Innsbruck","RZTIAT22XXX","2009-11-02",""
"AUSTRIA","Raiffeisen-Regionalbank Schwaz eGen","Innsbrucker Strasse 11","Schwaz","RZTIAT22322","2009-11-02",""
"AUSTRIA","Raiffeisen-Regionalbank Telfs reg.Gen.m.b.H.","Untermarktstr. 3","Telfs","RZTIAT22336","2009-11-02",""
"AUSTRIA","Raiffeisenbank  Schilcherland eGen","Raiffeisenstrasse 1","Deutschlandsberg","RZSTAT2G043","2009-11-02",""
"AUSTRIA","Raiffeisenbank Absam reg.Gen.m.b.H.","Salzbergstrasse 64","Absam","RZTIAT22200","2009-11-02",""
"AUSTRIA","Raiffeisenbank Abtenau - Russbach reg. Gen.m.b.H.","Markt 49","Abtenau","RVSAAT2S001","2009-11-02",""
"AUSTRIA","Raiffeisenbank Admont eGen","Hauptstr. 33","Admont","RZSTAT2G001","2009-11-02",""
"AUSTRIA","Raiffeisenbank Aichfeld eGen","Kaerntner Strasse 2","Knittelfeld","RZSTAT2G346","2009-11-02",""
"AUSTRIA","Raiffeisenbank Alberschwende","Hof 18","Alberschwende","RVVGAT2B401","2009-11-02",""
"AUSTRIA","Raiffeisenbank Alpbachtal eGen","Nr. 177","Alpbach","RZTIAT22203","2009-11-02",""
"AUSTRIA","Raiffeisenbank Altenmarkt - Flachau - Eben eGen","Altenmarkt 155","Altenmarkt","RVSAAT2S004","2009-11-02",""
"AUSTRIA","Raiffeisenbank Althofen-Guttaring reg.Gen.m.b.H.","Kreuzstrasse 15","Treibach-Althofen","RZKTAT2K255","2009-11-02",""
"AUSTRIA","Raiffeisenbank am Hofsteig","Kellhofstr. 12","Wolfurt","RVVGAT2B482","2009-11-02",""
"AUSTRIA","Raiffeisenbank am Kumma Goetzis","Junker-Jonas-Platz 2","Goetzis","RVVGAT2B429","2009-11-02",""
"AUSTRIA","Raiffeisenbank Anif - Niederalm eGen","Anif 165","Anif","RVSAAT2S005","2009-11-02",""
"AUSTRIA","Raiffeisenbank Annaberg-Lungoetz eGen","Annaberg 125","Annaberg","RVSAAT2S006","2009-11-02",""
"AUSTRIA","Raiffeisenbank Anthering-Elixhuasen eGen","Salzburger Strasse 6","Anthering","RVSAAT2S007","2009-11-02",""
"AUSTRIA","Raiffeisenbank Arnoldstein-Fürnitz eG","Gemeindeplatz 2","Arnoldstein","RZKTAT2K257","2009-11-02",""
"AUSTRIA","Raiffeisenbank Arzl im Pitztal und Imsterberg reg.Gen.m.b.H.","Hauptstrasse 76","Arzl im Pitztal","RZTIAT22207","2009-11-02",""
"AUSTRIA","Raiffeisenbank Aspach-Wildenau eGen","Marktplatz 3","Aspach i. I.","RZOOAT2L016","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK ATTERGAU EGEN","Attergaustrasse 38 a","St. Georgen im Attergau","RZOOAT2L523","2009-11-02",""
"AUSTRIA","Raiffeisenbank Attersee-Nord eGen","Raiffeisenplatz 1","Seewalchen","RZOOAT2L608","2009-11-02",""
"AUSTRIA","Raiffeisenbank Attersee-Sued eGen","Dorfstrasse 50","Nussdorf/A.","RZOOAT2L363","2009-11-02",""
"AUSTRIA","Raiffeisenbank Au","Lisse 94","Au","RVVGAT2B405","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bad Radkersburg-Kloech eGen","Halbenrainer Strasse 2","Bad Radkersburg","RZSTAT2G312","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bad Wimsbach-Neydharting eGen","Markt 23","Bad Wimsbach Neydharting","RZOOAT2L750","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bergheim eGen","Dorfstrassse 37","Bergheim","RVSAAT2S008","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK BERNHARDSTHAL - GROSSKRUT - ALTLICHTENWARTH eGen","3A, POYSDORFER STRASSE","BERNHARDSTHAL","RLNWATWWBGA","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bezau-Mellau-Bizau","Platz 398","Bezau","RVVGAT2B406","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bischofshofen eGen","Franz-Mooshammer-Platz 7","Bischofshofen","RVSAAT2S010","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bleiburg reg.Gen.m.b.H.","10. Oktober-Platz 13","Bleiburg","RZKTAT2K272","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK BLUDENZ-MONTAFON EGEN","Werdenbergerstrasse 9","Bludenz","RVVGAT2B468","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bodensee-Leiblachtal eGen","Seestr. 1","Hard","RVVGAT2B431","2009-11-02",""
