"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"ANDORRA","ANDORRA BANK AGRICOL REIG, S.A.","Carrer Manuel Cerqueda i Escaler 4-6","Escaldes-Engordany","BACAADADXXX","2019-03-05",""
"ANDORRA","BANCSABADELL D'ANDORRA S.A.","Av. Del Fener 7","Andorra la Vella","BSANADADXXX","2019-03-04",""
"ANDORRA","CREDIT ANDORRA S.A.","Av. Meritxell 80","Andorra la Vella","CRDAADADXXX","2019-03-05",""
"ANDORRA","MORA BANC GRUP SA","Av. Meritxell 96","Andorra la Vella","BINAADADXXX","2019-03-05",""
"ANDORRA","VALL BANC, SAU","Av. Carlemany 119","Escaldes-Engordany","VALBADADXXX","2019-03-04",""
"AUSTRIA","Addiko Bank AG","Wipplingerstrasse 34/4","Wien","HSEEAT2KXXX","2015-01-05",""
"AUSTRIA","Allgemeine Sparkasse Oberoesterreich Bankaktiengesellschaft","Promenade 11-13","Linz","ASPKAT2LXXX","2008-01-28",""
"AUSTRIA","ALLIANZ INVESTMENTBANK AG","HIETZINGER KAI 101- 105","VIENNA","AIAGATWWXXX","2010-11-01",""
"AUSTRIA","ALPENBANK A.G.","KAISER JAEGERSTRASSE 9","INNSBRUCK","ALPEAT22XXX","2010-03-08",""
"AUSTRIA","AUSTRIAN ANADI BANK AG","Domgasse 5","KLAGENFURT","HAABAT2KXXX","2008-01-28",""
"AUSTRIA","AUTOBANK AG","Gertrude-Fröhlich-Sandner-Straße 3","VIENNA","AUTOATW1XXX","2014-02-03",""
"AUSTRIA","BANCO DO BRASIL AG","Praterstrasse 31/4.OG","VIENNA","BRASATWWXXX","2008-01-28",""
"AUSTRIA","BANK FUER AERZTE UND FREIE BERUFE A.G.","4, KOLINGASSE","VIENNA","BWFBATW1XXX","2008-01-28",""
"AUSTRIA","BANK FUER TIROL UND VORARLBERG A.G.","STADTFORUM","INNSBRUCK","BTVAAT22XXX","2008-01-28",""
"AUSTRIA","Bank fur Arbeit und Wirtschaft und Osterreichische Postsparkasse AG","Georg Coch Platz 2","VIENNA","OPSKATWWXXX","2008-01-28",""
"AUSTRIA","BANK GUTMANN AG","Schwarzenbergplatz 16","VIENNA","GUTBATWWXXX","2008-07-07",""
"AUSTRIA","BANK WINTER UND CO. AKTIENGESELLSCHAFT","10, SINGERSTRASSE","VIENNA","WISMATWWXXX","2008-01-28",""
"AUSTRIA","Bankhaus Carl Spaengler & Co. AG","Schwarzstrasse  1","Salzburg","SPAEAT2SXXX","2008-01-28",""
"AUSTRIA","BANKHAUS DENZEL AKTIENGESELLSCHAFT","ERDBERGSTRASSE 189-193","VIENNA","DENEATW1XXX","2010-07-05",""
"AUSTRIA","Bankhaus Krentschker & Co Aktiengesellschaft","Am Eisernen Tor 3","Graz","KRECAT2GXXX","2008-01-28",""
"AUSTRIA","Bankhaus Schelhammer & Schattera AG","Goldschmiedgasse 3","Vienna","BSSWATWWXXX","2008-01-28",""
"AUSTRIA","Bausparkasse der oesterreichischen Sparkassen AG","Beatrixgasse 27","Wien","BAOSATWWXXX","2008-04-07",""
"AUSTRIA","Bausparkasse Wustenrot AG","Alpenstrasse 70","SALZBURG","WUBUAT2SXXX","2009-03-02",""
"AUSTRIA","BAWAG P.S.K.(Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse Aktiengesellschaft)","Wiedner Gürtel 11","VIENNA","BAWAATWWXXX","2008-01-28",""
"AUSTRIA","BKS BANK AG","43, ST. VEITER RING","KLAGENFURT","BFKKAT2KXXX","2008-01-28",""
"AUSTRIA","BMW AUSTRIA BANK GMBH","24 SIEGFRIED MARCUS STRASSE","SALZBURG","BMASAT21XXX","2010-11-01",""
"AUSTRIA","BRUELL KALLMUS BANK AG","BURGRING 16","GRAZ","SPBAATWWXXX","2014-02-03",""
"AUSTRIA","CAPITAL BANK GRAWE GRUPPE AG","16, BURGRING","GRAZ","RSBUAT2KXXX","2008-01-28",""
"AUSTRIA","CARD COMPLETE SERVICE BANK AG","Lassallestrasse 3","VIENNA","VIAUATW1XXX","2012-07-09",""
"AUSTRIA","Commerzialbank Mattersburg im Burgenland AG","Judengasse 11","Mattersburg","CBMUAT21XXX","2008-03-03",""
"AUSTRIA","DenizBank AG","Thomas-Klestil-Platz 1","VIENNA","ESBKATWWXXX","2008-01-28",""
"AUSTRIA","Die Zweite Wiener Vereins-Sparcasse","Glockengasse 3","Wien","GIBAAT21XXX","2008-04-07",""
"AUSTRIA","DOLOMITENBANK OSTTIROL-WESTKAERNTEN EG","SUEDTIROLER PLATZ 9","LIENZ","OVLIAT21XXX","2008-01-28",""
"AUSTRIA","Dornbirner Sparkasse Bank AG","Bahnhofstrasse 2","Dornbirn","DOSPAT2DXXX","2008-01-28",""
"AUSTRIA","easybank AG","51-55, QUELLENSTR.","VIENNA","EASYATW1XXX","2008-01-28",""
"AUSTRIA","ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG","Am Graben 21","Wien","GIBAATWWXXX","2008-01-28",""
"AUSTRIA","Erste Group Bank AG","Am Graben 21","Wien","GIBAATWGXXX","2008-01-28",""
"AUSTRIA","EUROPEAN AMERICAN INVESTMENT BANK AG","4, WALLNERSTRASSE","VIENNA","EUAAATWWXXX","2008-01-28",""
"AUSTRIA","GENERALI BANK AG","Landskrongasse 1-3","VIENNA","BGENATWWXXX","2008-01-28",""
"AUSTRIA","HYPO NOE Landesbank für Niederösterreich und Wien AG","Hypogasse 1","ST. POELTEN","HYPNATWWXXX","2008-01-28",""
"AUSTRIA","HYPO TIROL BANK AG","HYPO PASSAGE 2","INNSBRUCK","HYPTAT22XXX","2008-01-28",""
"AUSTRIA","Hypo Vorarlberg Bank AG","1 HYPO-PASSAGE","BREGENZ","HYPVAT2BXXX","2008-01-28",""
"AUSTRIA","HYPO-BANK BURGENLAND AKTIENGESELLSCHAFT","33, NEUSIEDLERSTRASSE","EISENSTADT","EHBBAT2EXXX","2008-01-28",""
"AUSTRIA","Kaerntner Sparkasse AG","Neuer Platz 14","Klagenfurt","KSPKAT2KXXX","2008-01-28",""
"AUSTRIA","KATHREIN PRIVATBANK AG","25, WIPPLINGERSTRASSE","VIENNA","KTBKATWWXXX","2008-01-28",""
"AUSTRIA","KOMMUNALKREDIT AUSTRIA AG","TUERKENSTRASSE 9","VIENNA","INVOATWWXXX","2017-06-05",""
"AUSTRIA","Kremser Bank und Sparkassen Aktiengesellschaft","Ringstrasse 5-7","Krems","SPKDAT21XXX","2008-01-28",""
"AUSTRIA","Landes-Hypothekenbank Steiermark AG","Radetzkystrasse 15 - 17","Graz","HYSTAT2GXXX","2008-01-28",""
"AUSTRIA","LGT BANK AG ZWEIGNIEDERLASSUNG OESTERREICH","BANKGASSE 9","VIENNA","BLFLATWWXXX","2008-01-28",""
"AUSTRIA","LIECHTENSTEINISCHE LANDESBANK (OSTERREICH) AG","WIPPLINGERSTRASSE 35","VIENNA","LILAATWWXXX","2011-04-04",""
"AUSTRIA","Lienzer Sparkasse AG","Johannesplatz 6","Lienz","LISPAT21XXX","2008-01-28",""
"AUSTRIA","Marchfelder Bank eG","Marchfelder-Platz 1-2","Gaenserndorf","MVOGAT22XXX","2017-02-06",""
"AUSTRIA","MEINL BANK A.G.","2, BAUERNMARKT","VIENNA","MEINATWWXXX","2008-01-28",""
"AUSTRIA","NOTARTREUHANDBANK AG","20, LANDESGERICHTSSTRASSE","VIENNA","NTBAATWWXXX","2008-01-28",""
"AUSTRIA","OBERBANK AG","Untere Donaulande, 28","Linz","OBKLAT2LXXX","2008-01-28",""
"AUSTRIA","OBEROESTERREICHISCHE LANDESBANK AKTIENGESELLSCHAFT","38, LANDSTRASSE","LINZ","OBLAAT2LXXX","2008-01-28",""
"AUSTRIA","OESTERREICHISCHE APOTHEKERBANK","31, SPITALGASSE","VIENNA","VBOEATWWAPO","2008-01-28",""
"AUSTRIA","Oesterreichische Kontrollbank AG","Am Hof 4","Vienna","OEKOATWWXXX","2014-02-03",""
"AUSTRIA","OESTERREICHISCHE NATIONALBANK","3, OTTO-WAGNER PLATZ","VIENNA","NABAATWWXXX","2008-01-28",""
"AUSTRIA","PARTNER BANK AG","Goethestrasse 1a","Linz","IBAGAT21XXX","2008-12-01",""
"AUSTRIA","PORSCHE-BANK AG","VOGELWEIDERSTRASSE 75","SALZBURG","PORCAT21XXX","2009-11-02",""
"AUSTRIA","Posojilnica Bank eGen","5-7, PAULITSCHGASSE","KLAGENFURT","VSGKAT2KXXX","2008-01-28",""
"AUSTRIA","Raiffeisen Bank Going reg.Gen.m.b.H.","Dorfstrasse 25","Going","RZTIAT22232","2008-01-28",""
"AUSTRIA","Raiffeisen Bank International AG","9, AM STADTPARK","VIENNA","RZBAATWWXXX","2008-01-28",""
"AUSTRIA","Raiffeisen Bank Lurnfeld-Reisseck reg.Gen.m.b.H.","Hauptstrasse 23","Moellbruecke","RZKTAT2K412","2008-01-28",""
"AUSTRIA","Raiffeisen Bank Villach reg.Gen.m.b.H.","Nikolaigasse 4","Villach","RZKTAT2K496","2008-01-28",""
"AUSTRIA","RAIFFEISEN BAUSPARKASSE GESELLSCHAFT M.B.H.","94, WIEDNER HAUPTSTRASSE","VIENNA","RBSKATW1XXX","2008-01-28",""
"AUSTRIA","RAIFFEISEN CENTROBANK AG","TEGETTHOFFSTRASSE 1","VIENNA","CENBATWWXXX","2011-11-07",""
"AUSTRIA","Raiffeisen Regionalbank Achensee eGen","Nr. 86 a","Maurach","RZTIAT22218","2008-01-28",""
"AUSTRIA","RAIFFEISEN REGIONALBANK GAENSERNDORF eGen","8, BAHNSTRASSE","GAENSERNDORF","RLNWATWWGAE","2008-01-28",""
"AUSTRIA","Raiffeisen Regionalbank Hall in Tirol reg.Gen.m.b.H.","Zollstrasse 1","Hall i.T.","RZTIAT22362","2008-01-28",""
"AUSTRIA","Raiffeisen Regionalbank Längsee-Hochosterwitz eGen","Hauptstrasse 12","Launsdorf","RZKTAT2K384","2008-01-28",""
"AUSTRIA","RAIFFEISEN REGIONALBANK MOEDLING eGen","Hauptstrasse 27-29","Moedling","RLNWATWWGTD","2008-01-28",""
"AUSTRIA","RAIFFEISEN REGIONALBANK WR. NEUSTADT eGen","28, HAUPTPLATZ","WIENER NEUSTADT","RLNWATWWWRN","2008-01-28",""
"AUSTRIA","RAIFFEISEN VERMOEGENSVERWALTUNGSBANK","SCHWARZENBERGPLATZ 3","VIENNA","RAVMATW1XXX","2008-01-28",""
"AUSTRIA","Raiffeisen-Bezirksbank Jennersdorf reg. GenmbH","Hauptstrasse 11","Jennersdorf","RLBBAT2E034","2008-01-28",""
