"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Allgemeine Sparkasse Oberoesterreich Bankaktiengesellschaft","Promenade 11-13","Linz","ASPKAT2LXXX","2017-11-21",""
"AUSTRIA","Bankhaus Carl Spaengler & Co. AG","Schwarzstrasse  1","Salzburg","SPAEAT2SXXX","2019-07-08",""
"AUSTRIA","Bankhaus Krentschker & Co Aktiengesellschaft","Am Eisernen Tor 3","Graz","KRECAT2GXXX","2017-11-21",""
"AUSTRIA","Bausparkasse der oesterreichischen Sparkassen AG","Beatrixgasse 27","Wien","BAOSATWWXXX","2017-11-21",""
"AUSTRIA","Die Zweite Wiener Vereins-Sparcasse","Glockengasse 3","Wien","GIBAAT21XXX","2017-11-21",""
"AUSTRIA","DOLOMITENBANK OSTTIROL-WESTKAERNTEN EG","SUEDTIROLER PLATZ 9","LIENZ","OVLIAT21XXX","2019-06-04",""
"AUSTRIA","Dornbirner Sparkasse Bank AG","Bahnhofstrasse 2","Dornbirn","DOSPAT2DXXX","2017-11-21",""
"AUSTRIA","ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG","Am Graben 21","Wien","GIBAATWWXXX","2017-11-21",""
"AUSTRIA","Erste Group Bank AG","Am Graben 21","Wien","GIBAATWGXXX","2017-11-21",""
"AUSTRIA","HYPO TIROL BANK AG","HYPO PASSAGE 2","INNSBRUCK","HYPTAT22XXX","2019-09-02",""
"AUSTRIA","Hypo Vorarlberg Bank AG","1 HYPO-PASSAGE","BREGENZ","HYPVAT2BXXX","2019-07-08",""
"AUSTRIA","Kaerntner Sparkasse AG","Neuer Platz 14","Klagenfurt","KSPKAT2KXXX","2017-11-21",""
"AUSTRIA","Kremser Bank und Sparkassen Aktiengesellschaft","Ringstrasse 5-7","Krems","SPKDAT21XXX","2017-11-21",""
"AUSTRIA","Landes-Hypothekenbank Steiermark AG","Radetzkystrasse 15 - 17","Graz","HYSTAT2GXXX","2017-11-21",""
"AUSTRIA","Lienzer Sparkasse AG","Johannesplatz 6","Lienz","LISPAT21XXX","2017-11-21",""
"AUSTRIA","OBERBANK AG","Untere Donaulande, 28","Linz","OBKLAT2LXXX","2019-09-02",""
"AUSTRIA","OBEROESTERREICHISCHE LANDESBANK AKTIENGESELLSCHAFT","38, LANDSTRASSE","LINZ","OBLAAT2LXXX","2017-11-21",""
"AUSTRIA","Posojilnica Bank eGen","5-7, PAULITSCHGASSE","KLAGENFURT","VSGKAT2KXXX","2019-09-10",""
"AUSTRIA","Raiffeisen Bank Going reg.Gen.m.b.H.","Dorfstrasse 25","Going","RZTIAT22232","2017-11-21",""
"AUSTRIA","Raiffeisen Bank International AG","9, AM STADTPARK","VIENNA","RZBAATWWXXX","2017-11-21",""
"AUSTRIA","Raiffeisen Bank Lurnfeld-Reisseck reg.Gen.m.b.H.","Hauptstrasse 23","Moellbruecke","RZKTAT2K412","2017-11-21",""
"AUSTRIA","Raiffeisen Bank Villach reg.Gen.m.b.H.","Nikolaigasse 4","Villach","RZKTAT2K496","2017-11-21",""
"AUSTRIA","Raiffeisen Regionalbank Achensee eGen","Nr. 86 a","Maurach","RZTIAT22218","2017-11-21",""
"AUSTRIA","RAIFFEISEN REGIONALBANK GAENSERNDORF eGen","8, BAHNSTRASSE","GAENSERNDORF","RLNWATWWGAE","2017-11-21",""
"AUSTRIA","Raiffeisen Regionalbank Hall in Tirol reg.Gen.m.b.H.","Zollstrasse 1","Hall i.T.","RZTIAT22362","2017-11-21",""
"AUSTRIA","Raiffeisen Regionalbank Längsee-Hochosterwitz eGen","Hauptstrasse 12","Launsdorf","RZKTAT2K384","2017-11-21",""
"AUSTRIA","RAIFFEISEN REGIONALBANK MOEDLING eGen","Hauptstrasse 27-29","Moedling","RLNWATWWGTD","2017-11-21",""
"AUSTRIA","RAIFFEISEN REGIONALBANK WR. NEUSTADT eGen","28, HAUPTPLATZ","WIENER NEUSTADT","RLNWATWWWRN","2017-11-21",""
"AUSTRIA","Raiffeisen-Bezirksbank Jennersdorf reg. GenmbH","Hauptstrasse 11","Jennersdorf","RLBBAT2E034","2017-11-21",""
"AUSTRIA","Raiffeisen-Bezirksbank Spittal/Drau reg.Gen.m.b.H.","Burgplatz 2","Spittal/Drau","RZKTAT2K267","2017-11-21",""
"AUSTRIA","Raiffeisen-Bezirksbank St.Veit a.d.Glan-Feldkirchen reg.Gen.m.b.H.","10.Oktober-Platz 1","St.Veit/Glan","RZKTAT2K475","2017-11-21",""
